label,count,precision_Int_ResGAT,precision_ESM-3,recall_Int_ResGAT,recall_ESM-3,bin
1254,9,0.9,0.08108108108108109,1.0,0.3333333333333333,5-10
1255,0,0.0,0.0,0.0,0.0,0-5
1256,219,0.9863636363636363,0.9276595744680851,0.9908675799086758,0.9954337899543378,100-500
1257,0,0.0,0.0,0.0,0.0,0-5
1258,1,1.0,0.1111111111111111,1.0,1.0,0-5
1259,10,0.9,0.0,0.9,0.0,10-50
1260,139,0.9130434782608695,1.0,0.7553956834532374,0.17266187050359713,100-500
1261,2,0.6666666666666666,0.0,1.0,0.0,0-5
1262,3,0.75,0.0,1.0,0.0,0-5
1263,3,1.0,0.75,0.6666666666666666,1.0,0-5
1264,0,0.0,0.0,0.0,0.0,0-5
1265,5,1.0,0.0,1.0,0.0,5-10
1266,4,1.0,0.0,1.0,0.0,0-5
1267,4,0.21428571428571427,0.42857142857142855,0.75,0.75,0-5
1268,0,0.0,0.0,0.0,0.0,0-5
1269,2,1.0,0.0,1.0,0.0,0-5
1270,0,0.0,0.0,0.0,0.0,0-5
1271,7,0.7,0.7,1.0,1.0,5-10
1272,2,0.6666666666666666,0.0,1.0,0.0,0-5
1273,1,1.0,0.02631578947368421,1.0,1.0,0-5
1274,4,0.8,0.13333333333333333,1.0,1.0,0-5
1275,4,0.8,0.8,1.0,1.0,0-5
1276,0,0.0,0.0,0.0,0.0,0-5
1277,2,0.6666666666666666,0.0,1.0,0.0,0-5
1278,1,0.3333333333333333,0.0,1.0,0.0,0-5
1279,3,1.0,0.0,1.0,0.0,0-5
1280,1,1.0,0.06666666666666667,1.0,1.0,0-5
1281,3,1.0,0.0,1.0,0.0,0-5
1282,4,0.8,0.0,1.0,0.0,0-5
1283,2,1.0,0.08695652173913043,1.0,1.0,0-5
1284,1,0.5,0.0,1.0,0.0,0-5
1285,1,1.0,0.0,1.0,0.0,0-5
1286,1,1.0,0.0,1.0,0.0,0-5
1287,73,0.96875,1.0,0.8493150684931506,0.273972602739726,50-100
1288,1,1.0,0.0,1.0,0.0,0-5
1289,4,0.8,0.08333333333333333,1.0,1.0,0-5
1290,4,1.0,0.0,1.0,0.0,0-5
1291,1,1.0,0.0,1.0,0.0,0-5
1292,4,0.6666666666666666,0.4444444444444444,1.0,1.0,0-5
1293,4,1.0,0.0,0.25,0.0,0-5
1294,7,0.8571428571428571,0.5555555555555556,0.8571428571428571,0.7142857142857143,5-10
1295,2,1.0,0.0,1.0,0.0,0-5
1296,2,0.6666666666666666,0.0,1.0,0.0,0-5
1297,3,0.75,0.0,1.0,0.0,0-5
1298,121,0.9918032786885246,0.9918032786885246,1.0,1.0,100-500
1299,1,1.0,0.0,1.0,0.0,0-5
1300,1,1.0,0.0,1.0,0.0,0-5
1301,2,0.0,0.0,0.0,0.0,0-5
1302,0,0.0,0.0,0.0,0.0,0-5
1303,2,0.4,0.0,1.0,0.0,0-5
1304,2,1.0,0.18181818181818182,1.0,1.0,0-5
1305,414,0.9974025974025974,0.9922480620155039,0.927536231884058,0.30917874396135264,100-500
1306,5,0.625,0.0,1.0,0.0,5-10
1307,6,0.75,0.0,1.0,0.0,5-10
1308,2,0.6666666666666666,0.0,1.0,0.0,0-5
1309,3,1.0,0.0,1.0,0.0,0-5
1310,2,0.6666666666666666,0.0,1.0,0.0,0-5
1311,4,1.0,0.0,0.75,0.0,0-5
1312,3,1.0,0.0,1.0,0.0,0-5
1313,1,0.25,0.03333333333333333,1.0,1.0,0-5
1314,2,1.0,0.6666666666666666,1.0,1.0,0-5
1315,1,0.5,0.0,1.0,0.0,0-5
1316,2,0.5,0.09090909090909091,1.0,1.0,0-5
1317,16,0.9411764705882353,0.8888888888888888,1.0,1.0,10-50
1318,1,1.0,0.05263157894736842,1.0,1.0,0-5
1319,1,0.3333333333333333,0.3333333333333333,1.0,1.0,0-5
1320,8,0.8888888888888888,0.5333333333333333,1.0,1.0,5-10
1321,1,1.0,1.0,1.0,1.0,0-5
1322,4,1.0,0.26666666666666666,1.0,1.0,0-5
1323,5,1.0,0.0,1.0,0.0,5-10
1324,2,0.6666666666666666,0.125,1.0,1.0,0-5
1325,0,0.0,0.0,0.0,0.0,0-5
1326,0,0.0,0.0,0.0,0.0,0-5
1327,1,1.0,0.0,1.0,0.0,0-5
1328,0,0.0,0.0,0.0,0.0,0-5
1329,1,1.0,0.05,1.0,1.0,0-5
1330,1,0.5,0.0,1.0,0.0,0-5
1331,4,1.0,0.0,1.0,0.0,0-5
1332,0,0.0,0.0,0.0,0.0,0-5
1333,1,1.0,0.0,1.0,0.0,0-5
1334,72,0.972972972972973,0.9545454545454546,1.0,0.5833333333333334,50-100
1335,141,0.9929078014184397,0.7650273224043715,0.9929078014184397,0.9929078014184397,100-500
1336,1,1.0,1.0,1.0,1.0,0-5
1337,16,0.7272727272727273,0.0,0.5,0.0,10-50
1338,0,0.0,0.0,0.0,0.0,0-5
1339,4,0.5,0.0,0.75,0.0,0-5
1340,1,1.0,0.0,1.0,0.0,0-5
1341,0,0.0,0.0,0.0,0.0,0-5
1342,1,1.0,0.0,1.0,0.0,0-5
1343,6,0.75,0.08823529411764706,1.0,1.0,5-10
1344,0,0.0,0.0,0.0,0.0,0-5
1345,0,0.0,0.0,0.0,0.0,0-5
1346,9,0.75,0.7142857142857143,1.0,0.5555555555555556,5-10
1347,3,1.0,1.0,1.0,1.0,0-5
1348,0,0.0,0.0,0.0,0.0,0-5
1349,94,0.9894736842105263,0.9894736842105263,1.0,1.0,50-100
1350,1,1.0,0.0,1.0,0.0,0-5
1351,3,0.5,0.0,0.3333333333333333,0.0,0-5
1352,1,0.5,1.0,1.0,1.0,0-5
1353,2,1.0,0.0,1.0,0.0,0-5
1354,11,1.0,0.9166666666666666,1.0,1.0,10-50
1355,2,0.6666666666666666,0.18181818181818182,1.0,1.0,0-5
1356,16,0.8888888888888888,0.8888888888888888,1.0,1.0,10-50
1357,0,0.0,0.0,0.0,0.0,0-5
1358,2,1.0,0.0,1.0,0.0,0-5
1359,20,1.0,0.5428571428571428,0.9,0.95,10-50
1360,118,0.9833333333333333,1.0,1.0,0.9745762711864406,100-500
1361,2,1.0,0.0,0.5,0.0,0-5
1362,0,0.0,0.0,0.0,0.0,0-5
1363,4,0.6666666666666666,1.0,0.5,0.75,0-5
1364,1,1.0,0.0,1.0,0.0,0-5
1365,4,1.0,1.0,1.0,1.0,0-5
1366,6,0.8571428571428571,1.0,1.0,1.0,5-10
1367,2,1.0,0.5,0.5,0.5,0-5
1368,86,1.0,0.7818181818181819,1.0,1.0,50-100
1369,75,1.0,0.9259259259259259,1.0,1.0,50-100
1370,3,0.0,0.0,0.0,0.0,0-5
1371,44,1.0,0.6984126984126984,0.9772727272727273,1.0,10-50
1372,8,1.0,0.0,1.0,0.0,5-10
1373,2,1.0,0.0,1.0,0.0,0-5
1374,13,0.8125,0.5,1.0,0.46153846153846156,10-50
1375,8,1.0,0.0,0.625,0.0,5-10
1376,2,0.0,0.0,0.0,0.0,0-5
1377,23,0.9583333333333334,0.9583333333333334,1.0,1.0,10-50
1378,1,0.0,0.0,0.0,0.0,0-5
1379,7,1.0,0.5,1.0,1.0,5-10
1380,73,1.0,0.9864864864864865,1.0,1.0,50-100
1381,6,0.8571428571428571,0.6,1.0,1.0,5-10
1382,1,1.0,0.0,1.0,0.0,0-5
