bin,count,precision_Int-ResGAT,recall_Int-ResGAT,precision_ESM-3,recall_ESM-3
"(0, 30]",17,0.391304347826087,0.34782608695652173,0.24,0.22
"(30, 50]",262,0.8032994923857868,0.8026649746192893,0.47547723935389136,0.506461086637298
"(50, 70]",752,0.914717106354737,0.9072590011614402,0.6373427395649617,0.6578409141434352
"(70, 100]",3930,0.9304621641323979,0.9311663026207223,0.5169330935102635,0.544828196423024
